tigrfam	mainrole	sub1role
TIGR02153	Protein synthesis	tRNA aminoacylation
TIGR04054	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR03748	Mobile and extrachromosomal element functions	Plasmid functions
TIGR03894	Hypothetical proteins	Conserved
TIGR00668	Cellular processes	Adaptations to atypical conditions
TIGR00095	Protein synthesis	tRNA and rRNA base modification
TIGR02551	Protein fate	Protein and peptide secretion and trafficking
TIGR02028	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR00532	Energy metabolism	Other
TIGR02591	Unknown	Unknown
TIGR00217	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01300	Transport and binding proteins	Cations and iron carrying compounds
TIGR03150	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR00434	Central intermediary metabolism	Sulfur metabolism
TIGR03413	Cellular processes	Detoxification
TIGR01845	Cellular processes	Detoxification
TIGR02417	Regulatory functions	DNA interactions
TIGR02402	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR04028	Transport and binding proteins	Unknown substrate
TIGR01737	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR00831	Transport and binding proteins	Cations and iron carrying compounds
TIGR02976	Cellular processes	Adaptations to atypical conditions
TIGR02191	Transcription	RNA processing
TIGR01785	Transport and binding proteins	Cations and iron carrying compounds
TIGR04521	Transport and binding proteins	Unknown substrate
TIGR00387	Energy metabolism	Other
TIGR02720	Energy metabolism	Aerobic
TIGR02912	Central intermediary metabolism	Sulfur metabolism
TIGR03317	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR04387	Mobile and extrachromosomal element functions	Prophage functions
TIGR00598	DNA metabolism	DNA replication, recombination, and repair
TIGR01146	Energy metabolism	ATP-proton motive force interconversion
TIGR03700	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR00875	Energy metabolism	Pentose phosphate pathway
TIGR02566	Unknown	Unknown
TIGR00472	Protein synthesis	tRNA aminoacylation
TIGR02213	Protein fate	Protein and peptide secretion and trafficking
TIGR02707	Energy metabolism	Fermentation
TIGR00871	Energy metabolism	Pentose phosphate pathway
TIGR00539	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR01411	Protein fate	Protein and peptide secretion and trafficking
TIGR03285	Energy metabolism	Methanogenesis
TIGR02220	Mobile and extrachromosomal element functions	Prophage functions
TIGR02439	Energy metabolism	Other
TIGR02836	Cellular processes	Sporulation and germination
TIGR01470	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR01197	Transport and binding proteins	Cations and iron carrying compounds
TIGR01207	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03854	Unknown function	Enzymes of unknown specificity
TIGR01966	Transcription	RNA processing
TIGR00482	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridine nucleotides
TIGR01877	Unknown	Unknown
TIGR02655	Cellular processes	Other
TIGR01036	Purines, pyrimidines, nucleosides, and nucleotides	Pyrimidine ribonucleotide biosynthesis
TIGR00533	Central intermediary metabolism	Other
TIGR02318	Energy metabolism	Other
TIGR00824	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02061	Central intermediary metabolism	Sulfur metabolism
TIGR03558	Unknown function	Enzymes of unknown specificity
TIGR01691	Central intermediary metabolism	Sulfur metabolism
TIGR01813	Energy metabolism	Electron transport
TIGR01008	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02501	Cellular processes	Pathogenesis
TIGR03561	Cellular processes	Detoxification
TIGR01488	Unknown function	Enzymes of unknown specificity
TIGR03333	Amino acid biosynthesis	Aspartate family
TIGR00299	Hypothetical proteins	Conserved
TIGR01167	Cell envelope	Other
TIGR01419	Signal transduction	PTS
TIGR04370	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00096	Protein synthesis	tRNA and rRNA base modification
TIGR00019	Protein synthesis	Translation factors
TIGR01616	Unknown function	General
TIGR01549	Unknown function	Enzymes of unknown specificity
TIGR01372	Energy metabolism	Amino acids and amines
TIGR00932	Transport and binding proteins	Cations and iron carrying compounds
TIGR00962	Energy metabolism	ATP-proton motive force interconversion
TIGR01882	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR00959	Protein fate	Protein and peptide secretion and trafficking
TIGR00947	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01351	Purines, pyrimidines, nucleosides, and nucleotides	Nucleotide and nucleoside interconversions
TIGR00869	Transport and binding proteins	Amino acids, peptides and amines
TIGR02475	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR02139	Transport and binding proteins	Anions
TIGR00190	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine
TIGR01017	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02060	Central intermediary metabolism	Sulfur metabolism
TIGR00078	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridine nucleotides
TIGR00963	Protein fate	Protein and peptide secretion and trafficking
TIGR01532	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridoxine
TIGR03954	Unknown function	General
TIGR01160	Protein synthesis	Translation factors
TIGR00205	Cellular processes	Chemotaxis and motility
TIGR01812	Energy metabolism	Aerobic
TIGR01537	Mobile and extrachromosomal element functions	Prophage functions
TIGR01450	DNA metabolism	DNA replication, recombination, and repair
TIGR02396	Unknown function	General
TIGR02967	Purines, pyrimidines, nucleosides, and nucleotides	Other
TIGR01596	Unknown	Unknown
TIGR03534	Protein fate	Protein modification and repair
TIGR02787	Regulatory functions	DNA interactions
TIGR04273	Cellular processes	Pathogenesis
TIGR03963	Protein synthesis	tRNA and rRNA base modification
TIGR02703	Central intermediary metabolism	One-carbon metabolism
TIGR01636	Mobile and extrachromosomal element functions	Prophage functions
TIGR00636	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR00414	Protein synthesis	tRNA aminoacylation
TIGR01096	Transport and binding proteins	Amino acids, peptides and amines
TIGR03908	Energy metabolism	Amino acids and amines
TIGR00732	Cellular processes	DNA transformation
TIGR01461	Transcription	Transcription factors
TIGR01888	Unknown	Unknown
TIGR01362	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01398	Cellular processes	Chemotaxis and motility
TIGR02773	DNA metabolism	DNA replication, recombination, and repair
TIGR02915	Regulatory functions	DNA interactions
TIGR03244	Energy metabolism	Amino acids and amines
TIGR03955	Protein fate	Protein modification and repair
TIGR00473	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR00199	DNA metabolism	DNA replication, recombination, and repair
TIGR02762	Cellular processes	Conjugation
TIGR01876	Unknown	Unknown
TIGR02898	Cellular processes	Sporulation and germination
TIGR03608	Cellular processes	Toxin production and resistance
TIGR03724	Unknown function	General
TIGR00754	Transport and binding proteins	Cations and iron carrying compounds
TIGR04469	Cellular processes	Toxin production and resistance
TIGR00256	Protein synthesis	tRNA aminoacylation
TIGR01260	Energy metabolism	ATP-proton motive force interconversion
TIGR00239	Energy metabolism	TCA cycle
TIGR02418	Energy metabolism	Fermentation
TIGR02835	Transcription	Transcription factors
TIGR03620	Unknown function	Enzymes of unknown specificity
TIGR00676	Amino acid biosynthesis	Aspartate family
TIGR02729	Protein synthesis	Other
TIGR00915	Cellular processes	Toxin production and resistance
TIGR00426	Cellular processes	DNA transformation
TIGR00396	Protein synthesis	tRNA aminoacylation
TIGR01555	Mobile and extrachromosomal element functions	Prophage functions
TIGR03240	Energy metabolism	Amino acids and amines
TIGR01032	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR03281	Energy metabolism	Methanogenesis
TIGR00443	Amino acid biosynthesis	Histidine family
TIGR03238	DNA metabolism	Restriction/modification
TIGR00574	DNA metabolism	DNA replication, recombination, and repair
TIGR01474	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR00479	Protein synthesis	tRNA and rRNA base modification
TIGR03972	Protein synthesis	tRNA and rRNA base modification
TIGR01009	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01089	Energy metabolism	Sugars
TIGR01067	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR04536	Unknown function	Enzymes of unknown specificity
TIGR04149	Cellular processes	Biosynthesis of natural products
TIGR03582	Unknown function	General
TIGR00115	Protein fate	Protein folding and stabilization
TIGR01403	Protein fate	Protein and peptide secretion and trafficking
TIGR02877	Cellular processes	Sporulation and germination
TIGR00954	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02572	Protein fate	Protein and peptide secretion and trafficking
TIGR04041	Protein fate	Protein modification and repair
TIGR01304	Unknown function	General
TIGR03246	Energy metabolism	Amino acids and amines
TIGR03983	Unknown	Unknown
TIGR00151	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01085	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01206	Amino acid biosynthesis	Aspartate family
TIGR02427	Energy metabolism	Other
TIGR03142	Protein fate	Protein folding and stabilization
TIGR00280	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01174	Cellular processes	Cell division
TIGR01388	Transcription	RNA processing
TIGR00117	Energy metabolism	TCA cycle
TIGR01118	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01861	Central intermediary metabolism	Nitrogen fixation
TIGR02875	Cellular processes	Sporulation and germination
TIGR02063	Transcription	Degradation of RNA
TIGR01786	Transport and binding proteins	Cations and iron carrying compounds
TIGR02733	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00106	Unknown function	General
TIGR01379	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine
TIGR00613	DNA metabolism	DNA replication, recombination, and repair
TIGR01935	Unknown function	General
TIGR00409	Protein synthesis	tRNA aminoacylation
TIGR02010	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01257	Transport and binding proteins	Other
TIGR00682	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03553	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00389	Protein synthesis	tRNA aminoacylation
TIGR03058	Energy metabolism	Photosynthesis
TIGR03345	Protein fate	Protein and peptide secretion and trafficking
TIGR00634	DNA metabolism	DNA replication, recombination, and repair
TIGR01464	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR00511	Energy metabolism	Other
TIGR02116	Cellular processes	Toxin production and resistance
TIGR03270	Energy metabolism	Methanogenesis
TIGR03581	Hypothetical proteins	Conserved
TIGR01297	Transport and binding proteins	Cations and iron carrying compounds
TIGR03188	Amino acid biosynthesis	Histidine family
TIGR02002	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02217	Mobile and extrachromosomal element functions	Prophage functions
TIGR02376	Central intermediary metabolism	Nitrogen metabolism
TIGR01325	Amino acid biosynthesis	Aspartate family
TIGR01177	Hypothetical proteins	Conserved
TIGR00644	DNA metabolism	DNA replication, recombination, and repair
TIGR02404	Regulatory functions	DNA interactions
TIGR04407	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00786	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01575	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01196	Energy metabolism	Entner-Doudoroff
TIGR00503	Protein synthesis	Translation factors
TIGR02383	Regulatory functions	Other
TIGR01033	Regulatory functions	DNA interactions
TIGR00697	Hypothetical proteins	Conserved
TIGR02600	Cell envelope	Surface structures
TIGR02011	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01409	Protein fate	Protein and peptide secretion and trafficking
TIGR01116	Transport and binding proteins	Cations and iron carrying compounds
TIGR02621	Unknown	Unknown
TIGR00436	Protein synthesis	Other
TIGR02616	Energy metabolism	Amino acids and amines
TIGR01288	Cellular processes	Other
TIGR00206	Cellular processes	Chemotaxis and motility
TIGR02667	Biosynthesis of cofactors, prosthetic groups, and carriers	Molybdopterin
TIGR02781	Cellular processes	Conjugation
TIGR01792	Central intermediary metabolism	Nitrogen metabolism
TIGR01132	Energy metabolism	Sugars
TIGR02649	Transcription	RNA processing
TIGR00702	Hypothetical proteins	Conserved
TIGR01369	Purines, pyrimidines, nucleosides, and nucleotides	Pyrimidine ribonucleotide biosynthesis
TIGR04027	Unknown function	Enzymes of unknown specificity
TIGR00765	Unknown function	General
TIGR04002	Unknown function	General
TIGR03153	Energy metabolism	Electron transport
TIGR01335	Energy metabolism	Photosynthesis
TIGR00843	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01394	Regulatory functions	Other
TIGR01948	Energy metabolism	Electron transport
TIGR03961	Unknown function	Enzymes of unknown specificity
TIGR00892	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03448	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR03755	Mobile and extrachromosomal element functions	Plasmid functions
TIGR02466	Hypothetical proteins	Conserved
TIGR00136	Protein synthesis	tRNA and rRNA base modification
TIGR00103	Unknown function	General
TIGR00345	Hypothetical proteins	Conserved
TIGR03319	Transcription	Degradation of RNA
TIGR01050	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00289	Hypothetical proteins	Conserved
TIGR01122	Amino acid biosynthesis	Pyruvate family
TIGR01484	Unknown function	Enzymes of unknown specificity
TIGR00599	DNA metabolism	DNA replication, recombination, and repair
TIGR01773	Transport and binding proteins	Amino acids, peptides and amines
TIGR00444	Unknown function	General
TIGR02193	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01415	Unknown function	Enzymes of unknown specificity
TIGR01561	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR00008	Protein synthesis	Translation factors
TIGR04359	Mobile and extrachromosomal element functions	Plasmid functions
TIGR00914	Cellular processes	Detoxification
TIGR00718	Energy metabolism	Amino acids and amines
TIGR00564	Amino acid biosynthesis	Aromatic amino acid family
TIGR03054	Energy metabolism	Photosynthesis
TIGR01148	Energy metabolism	Other
TIGR01374	Energy metabolism	Amino acids and amines
TIGR02988	DNA metabolism	DNA replication, recombination, and repair
TIGR02987	DNA metabolism	Restriction/modification
TIGR01077	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR04400	Protein fate	Protein and peptide secretion and trafficking
TIGR01126	Protein fate	Protein folding and stabilization
TIGR02463	Unknown function	General
TIGR02588	Hypothetical proteins	Conserved
TIGR02444	Hypothetical proteins	Conserved
TIGR03668	Unknown function	Enzymes of unknown specificity
TIGR01715	Mobile and extrachromosomal element functions	Prophage functions
TIGR00764	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR00748	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR00833	Transport and binding proteins	Unknown substrate
TIGR02040	Energy metabolism	Photosynthesis
TIGR03411	Transport and binding proteins	Amino acids, peptides and amines
TIGR00355	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR02949	Transcription	Transcription factors
TIGR01364	Amino acid biosynthesis	Serine family
TIGR00014	Cellular processes	Detoxification
TIGR02119	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A
TIGR00563	Protein synthesis	tRNA and rRNA base modification
TIGR00191	Amino acid biosynthesis	Aspartate family
TIGR02058	Hypothetical proteins	Conserved
TIGR03354	Protein fate	Protein and peptide secretion and trafficking
TIGR04013	Unknown function	Enzymes of unknown specificity
TIGR00285	DNA metabolism	Chromosome-associated proteins
TIGR02243	Mobile and extrachromosomal element functions	Prophage functions
TIGR02374	Central intermediary metabolism	Nitrogen metabolism
TIGR02677	Hypothetical proteins	Conserved
TIGR02867	Cellular processes	Sporulation and germination
TIGR03072	Protein synthesis	Translation factors
TIGR02067	Amino acid biosynthesis	Histidine family
TIGR03125	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00171	Amino acid biosynthesis	Pyruvate family
TIGR00970	Amino acid biosynthesis	Pyruvate family
TIGR02157	Energy metabolism	Other
TIGR03496	Cellular processes	Chemotaxis and motility
TIGR03856	Unknown function	Enzymes of unknown specificity
TIGR04411	Protein fate	Protein and peptide secretion and trafficking
TIGR00522	Protein fate	Protein modification and repair
TIGR03924	Protein fate	Protein and peptide secretion and trafficking
TIGR01480	Cellular processes	Detoxification
TIGR01608	Energy metabolism	Fermentation
TIGR00711	Cellular processes	Toxin production and resistance
TIGR02198	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00987	DNA metabolism	DNA replication, recombination, and repair
TIGR03367	Protein synthesis	tRNA and rRNA base modification
TIGR02757	Hypothetical proteins	Conserved
TIGR01458	Unknown function	Enzymes of unknown specificity
TIGR01054	DNA metabolism	DNA replication, recombination, and repair
TIGR00888	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR02208	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00645	Hypothetical proteins	Conserved
TIGR00767	Transcription	Transcription factors
TIGR02435	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR01048	Amino acid biosynthesis	Aspartate family
TIGR02075	Purines, pyrimidines, nucleosides, and nucleotides	Nucleotide and nucleoside interconversions
TIGR01110	Transport and binding proteins	Cations and iron carrying compounds
TIGR01957	Energy metabolism	Electron transport
TIGR00769	Transport and binding proteins	Nucleosides, purines and pyrimidines
TIGR01221	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03373	Protein fate	Protein and peptide secretion and trafficking
TIGR03705	Central intermediary metabolism	Phosphorus compounds
TIGR00169	Amino acid biosynthesis	Pyruvate family
TIGR00188	Transcription	RNA processing
TIGR00211	Protein synthesis	tRNA aminoacylation
TIGR00725	Hypothetical proteins	Conserved
TIGR03752	Mobile and extrachromosomal element functions	Plasmid functions
TIGR00942	Transport and binding proteins	Cations and iron carrying compounds
TIGR03574	Protein synthesis	tRNA aminoacylation
TIGR02495	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR02712	Central intermediary metabolism	Nitrogen metabolism
TIGR03799	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A
TIGR03272	Energy metabolism	Methanogenesis
TIGR01752	Energy metabolism	Electron transport
TIGR02723	Energy metabolism	Anaerobic
TIGR01187	Transport and binding proteins	Amino acids, peptides and amines
TIGR03149	Energy metabolism	Electron transport
TIGR00898	Transport and binding proteins	Cations and iron carrying compounds
TIGR00902	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR04055	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR02902	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR01099	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02843	Energy metabolism	Electron transport
TIGR04566	Protein fate	Protein and peptide secretion and trafficking
TIGR03094	Energy metabolism	Electron transport
TIGR02563	Unknown	Unknown
TIGR00362	DNA metabolism	DNA replication, recombination, and repair
TIGR00054	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR00994	Transport and binding proteins	Amino acids, peptides and amines
TIGR04437	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01344	Energy metabolism	TCA cycle
TIGR00024	Unknown function	Enzymes of unknown specificity
TIGR00224	Energy metabolism	Glycolysis/gluconeogenesis
TIGR03962	Unknown function	Enzymes of unknown specificity
TIGR00717	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01930	Fatty acid and phospholipid metabolism	Other
TIGR02287	Energy metabolism	Other
TIGR01194	Transport and binding proteins	Amino acids, peptides and amines
TIGR00003	Transport and binding proteins	Cations and iron carrying compounds
TIGR01143	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02103	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR00578	DNA metabolism	DNA replication, recombination, and repair
TIGR00182	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR00536	Protein fate	Protein modification and repair
TIGR00584	DNA metabolism	DNA replication, recombination, and repair
TIGR01308	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02019	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR01682	Biosynthesis of cofactors, prosthetic groups, and carriers	Molybdopterin
TIGR02433	Protein synthesis	tRNA and rRNA base modification
TIGR03027	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00342	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine
TIGR01580	Energy metabolism	Anaerobic
TIGR03167	Protein synthesis	tRNA and rRNA base modification
TIGR03829	Unknown function	General
TIGR00228	DNA metabolism	DNA replication, recombination, and repair
TIGR02652	Hypothetical proteins	Conserved
TIGR01503	Energy metabolism	Amino acids and amines
TIGR00809	Protein fate	Protein and peptide secretion and trafficking
TIGR02701	Central intermediary metabolism	One-carbon metabolism
TIGR02523	Cell envelope	Surface structures
TIGR04023	Unknown function	Enzymes of unknown specificity
TIGR02492	Cellular processes	Chemotaxis and motility
TIGR01529	Amino acid biosynthesis	Glutamate family
TIGR00417	Central intermediary metabolism	Polyamine biosynthesis
TIGR00430	Protein synthesis	tRNA and rRNA base modification
TIGR00044	Unknown function	Enzymes of unknown specificity
TIGR02007	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR02895	Transcription	Transcription factors
TIGR00806	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00286	Central intermediary metabolism	Polyamine biosynthesis
TIGR03350	Protein fate	Protein and peptide secretion and trafficking
TIGR03838	Protein synthesis	tRNA and rRNA base modification
TIGR02385	Cellular processes	Toxin production and resistance
TIGR02998	Transcription	Degradation of RNA
TIGR00074	Protein fate	Protein folding and stabilization
TIGR00372	Unknown	Unknown
TIGR02522	Cell envelope	Surface structures
TIGR01710	Protein fate	Protein and peptide secretion and trafficking
TIGR02708	Energy metabolism	Other
TIGR01817	Central intermediary metabolism	Nitrogen fixation
TIGR01248	Unclassified	Role category not yet assigned
TIGR03655	Mobile and extrachromosomal element functions	Prophage functions
TIGR00247	Hypothetical proteins	Conserved
TIGR00884	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR03335	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00996	Cellular processes	Pathogenesis
TIGR02782	Cellular processes	Conjugation
TIGR04548	DNA metabolism	DNA replication, recombination, and repair
TIGR03531	Protein synthesis	tRNA aminoacylation
TIGR00138	Protein synthesis	tRNA and rRNA base modification
TIGR01671	Mobile and extrachromosomal element functions	Prophage functions
TIGR02451	Regulatory functions	Other
TIGR03092	Cellular processes	Sporulation and germination
TIGR01079	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR04562	Unknown function	General
TIGR01001	Amino acid biosynthesis	Aspartate family
TIGR02182	Energy metabolism	Electron transport
TIGR00844	Transport and binding proteins	Cations and iron carrying compounds
TIGR00589	DNA metabolism	DNA replication, recombination, and repair
TIGR00679	Regulatory functions	Protein interactions
TIGR04074	Transcription	RNA processing
TIGR01210	Hypothetical proteins	Conserved
TIGR02936	Central intermediary metabolism	Nitrogen fixation
TIGR01064	Energy metabolism	Glycolysis/gluconeogenesis
TIGR02585	Unknown	Unknown
TIGR00930	Transport and binding proteins	Other
TIGR00401	Protein fate	Protein modification and repair
TIGR02224	DNA metabolism	DNA replication, recombination, and repair
TIGR02382	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00344	Protein synthesis	tRNA aminoacylation
TIGR01834	Cellular processes	Adaptations to atypical conditions
TIGR02380	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01907	Unknown	Unknown
TIGR01749	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR04113	Unknown	Unknown
TIGR01916	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01019	Energy metabolism	TCA cycle
TIGR00890	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01598	Mobile and extrachromosomal element functions	Prophage functions
TIGR01567	Cell envelope	Surface structures
TIGR02620	Unknown	Unknown
TIGR04330	Unknown	Unknown
TIGR00210	Transport and binding proteins	Amino acids, peptides and amines
TIGR01541	Mobile and extrachromosomal element functions	Prophage functions
TIGR00887	Transport and binding proteins	Anions
TIGR02669	Unknown function	General
TIGR01547	Mobile and extrachromosomal element functions	Prophage functions
TIGR00264	Unknown function	General
TIGR03946	Cellular processes	Biosynthesis of natural products
TIGR04079	Cellular processes	Biosynthesis of natural products
TIGR03702	Unknown function	Enzymes of unknown specificity
TIGR01587	Unknown	Unknown
